,Ask,Ask,Ask,Ask,Ask,Ask,Ask,Ask,Ask,Ask,Ask,Ask,Ask,Ask,Ask,Ask,Ask,Bid,Bid,Bid,Bid,Bid,Bid,Bid,Bid,Bid,Bid,Bid,Bid,Bid,Bid,Bid,Bid,Bid
,open,high,low,close,Rsi,RsiMA,Gamma,Gamma_Long,Gamma_Short,Rsi_Diff,Rsi_Crossover,Short_SMA,Long_SMA,Bullish_SMA,Bearish_SMA,SMA_Diff,SMA_Crossover,open,high,low,close,Rsi,RsiMA,Gamma,Gamma_Long,Gamma_Short,Rsi_Diff,Rsi_Crossover,Short_SMA,Long_SMA,Bullish_SMA,Bearish_SMA,SMA_Diff,SMA_Crossover
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-11 10:00:00,4274.07,4275.36,4274.03,4275.36,,,,0,0,0,0.0,,,0,0,0,0.0,4273.31,4274.6,4273.27,4274.6,,,,0,0,0,0.0,,,0,0,0,0.0
2022-03-11 10:01:00,4275.37,4277.84,4275.37,4277.58,,,,0,0,0,0.0,4276.469999999999,,0,0,0,0.0,4274.61,4277.08,4274.61,4276.82,,,,0,0,0,0.0,4275.71,,0,0,0,0.0
2022-03-11 10:02:00,4277.82,4280.82,4277.82,4280.62,100.00000000000001,,,0,0,0,0.0,4279.1,,0,0,0,0.0,4277.06,4280.06,4277.06,4279.86,100.0,,,0,0,0,0.0,4278.34,,0,0,0,0.0
2022-03-11 10:03:00,4280.78,4280.81,4279.79,4280.57,97.64705882352109,98.82352941176055,-1.1764705882394537,0,1,-1,-1.0,4280.594999999999,,0,0,0,0.0,4280.02,4280.06,4279.03,4279.81,97.64705882356265,98.82352941178132,-1.1764705882186774,0,1,-1,-1.0,4279.835,,0,0,0,0.0
2022-03-11 10:04:00,4280.57,4283.68,4279.71,4283.68,99.400838825642,98.52394882458154,0.8768900010604597,1,0,1,2.0,4282.125,4279.562,0,1,-1,-1.0,4279.81,4282.93,4278.95,4282.93,99.40227136880719,98.52466509618492,0.8776062726222733,1,0,1,2.0,4281.370000000001,4278.804,0,1,-1,-1.0
2022-03-11 10:05:00,4284.05,4285.12,4282.52,4284.23,99.525841631103,99.4633402283725,0.0625014027305042,1,0,1,0.0,4283.955,4281.336,0,1,-1,0.0,4283.3,4284.36,4281.77,4283.48,99.52673923332425,99.46450530106571,0.06223393225853613,1,0,1,0.0,4283.205,4280.58,0,1,-1,0.0
2022-03-11 10:06:00,4284.32,4284.32,4280.23,4280.53,26.142732594343194,62.8342871127231,-36.69155451837991,0,1,-1,-2.0,4282.379999999999,4281.926,0,1,-1,0.0,4283.56,4283.56,4279.48,4279.77,26.127469250837542,62.82710424208089,-36.69963499124335,0,1,-1,-2.0,4281.625,4281.17,0,1,-1,0.0
2022-03-11 10:07:00,4280.52,4280.77,4280.08,4280.27,23.68807132378202,24.915401959062606,-1.2273306352805875,0,1,-1,0.0,4280.4,4281.856000000001,1,0,1,2.0,4279.77,4280.02,4279.32,4279.52,23.765397220023296,24.94643323543042,-1.1810360154071233,0,1,-1,0.0,4279.645,4281.102000000001,1,0,1,2.0
2022-03-11 10:08:00,4280.18,4280.83,4279.9,4280.68,41.1232041793667,32.40563775157436,8.717566427792342,1,0,1,2.0,4280.475,4281.878,1,0,1,0.0,4279.43,4280.07,4279.15,4279.93,41.20108079839361,32.483239009208454,8.717841789185158,1,0,1,2.0,4279.725,4281.126,1,0,1,0.0
